brand,name,image,web_url
Bear Naked,"Granola, Triple Berry Fit",https://media.fooducate.com/products/images/180x180/5D3F82A7-F2A5-002C-4036-9A148ADDE3F0-8866.jpeg,https://www.fooducate.com/product/Bear-Naked-Granola-Triple-Berry-Fit/C5D68360-E117-11DF-A102-FEFD45A4D471
HyVee,"Cereal, Oats & More, with Honey",https://media.fooducate.com/products/images/nophoto-plate180.jpg,https://www.fooducate.com/product/HyVee-Cereal-Oats-More-with-Honey/387879F2-E111-11DF-A102-FEFD45A4D471
,O's Cereal - Cinnamon,https://media.fooducate.com/products/images/180x180/4DEB4A0F-5070-C5E3-458F-98FA947FF38B.jpg,https://www.fooducate.com/product/O-s-Cereal-Cinnamon/50640CF0-8F50-11E0-86F7-1231380C180E
Uncle Sam,"Cereal, Original Wheat Berry Flakes",https://media.fooducate.com/products/images/180x180/5D98D31D-807D-11C0-474F-9FF9AD3488B1-4834.jpeg,https://www.fooducate.com/product/Uncle-Sam-Cereal-Original-Wheat-Berry-Flakes/17050148-A301-11E0-86F7-1231380C180E
Uncle Sam,"Cereal, Original Wheat Berry Flakes",https://media.fooducate.com/products/images/180x180/5D4E27B7-8785-ED76-4BE3-AC73536CBDD1-1277.jpeg,https://www.fooducate.com/product/Uncle-Sam-Cereal-Original-Wheat-Berry-Flakes/9199B426-E10A-11DF-A102-FEFD45A4D471
General Mills,"Simply Nutritious, Wheat Chex, Oven Toasted Wheat Cereal",https://media.fooducate.com/products/images/180x180/548DB29D-8AB8-D9ED-4601-BED2FB005AE0-7451.jpeg,https://www.fooducate.com/product/General-Mills-Simply-Nutritious-Wheat-Chex-Oven-Toasted-Wheat-Cereal/548DB29C-6D6C-3759-4CC4-AFAC97E623C9
Cheerios,"Lightly Sweetened Cereal, Multi Grain",https://media.fooducate.com/products/images/180x180/5D5DE2FB-67A2-CB96-439C-ACA13D4AFD50-9187.jpeg,https://www.fooducate.com/product/Cheerios-Lightly-Sweetened-Cereal-Multi-Grain/539EDDAC-5D08-1C64-4C06-8EE8CB7DB868
H-E-B,Shredder Wheat Bite Size Cereal,https://media.fooducate.com/products/images/180x180/4FF2E609-03D5-67AF-4409-AC7D54F2A920.jpeg,https://www.fooducate.com/product/H-E-B-Shredder-Wheat-Bite-Size-Cereal/F542DFC6-C50A-11E1-956E-1231381BA074
Mom's Best Cereal,"Toasted Wheat Fuls, Whole Grain Wheat Cereal",https://media.fooducate.com/products/images/180x180/5605542F-A70A-4AB0-4985-8B0C00AB9E78-9617.jpeg,https://www.fooducate.com/product/Mom-s-Best-Cereal-Toasted-Wheat-Fuls-Whole-Grain-Wheat-Cereal/5605542F-CCFC-2F89-448C-B5B9920F724B
Mom's Best Naturals,Toasted Wheat-fuls,https://media.fooducate.com/products/images/180x180/5E569BA4-DDC1-3F43-4316-A2A74DBD9E54-2686.jpeg,https://www.fooducate.com/product/Mom-s-Best-Naturals-Toasted-Wheat-fuls/F029069A-C8CC-11E0-8977-1231380C180E
Simply Nature,Original Shredded Wheat Cereal,https://media.fooducate.com/products/images/180x180/5105D86C-E980-31A3-42AC-A757D808DAC2.jpeg,https://www.fooducate.com/product/Simply-Nature-Original-Shredded-Wheat-Cereal/83DBE16C-68EC-11E2-89F9-1231381A4CEA
Simply Nature,Original Shredded Wheat Cereal,https://media.fooducate.com/products/images/180x180/5105D86C-E980-31A3-42AC-A757D808DAC2.jpeg,https://www.fooducate.com/product/Simply-Nature-Original-Shredded-Wheat-Cereal/83DBE16C-68EC-11E2-89F9-1231381A4CEA
Great Value,Shredded Wheat Cereal,https://media.fooducate.com/products/images/180x180/51E3BD28-D5A7-102B-4821-AA5124B66496-2778.jpeg,https://www.fooducate.com/product/Great-Value-Shredded-Wheat-Cereal/C5E686AE-ED2E-11E2-A74D-1E047F0525AB
Simply Nature,"Cereal, Original Shredded Wheat",https://media.fooducate.com/products/images/180x180/5D7454EC-009F-99DA-45ED-B9DDCA3AB105-1135.jpeg,https://www.fooducate.com/product/Simply-Nature-Cereal-Original-Shredded-Wheat/5C3B44A0-CDFB-9F6A-4F0C-802D9D8D34B7
Wholesome Pantry,"Granola, Oats & Honey With Almonds",https://media.fooducate.com/products/images/nophoto-plate180.jpg,https://www.fooducate.com/product/Wholesome-Pantry-Granola-Oats-Honey-With-Almonds/5D08F1E9-0019-4FF8-43BA-BDA68112CBEF
Shredded Wheat,"Biscuits, Original",https://media.fooducate.com/products/images/180x180/5D49A407-CF5B-BC93-4D24-B85D89AFED00-4316.jpeg,https://www.fooducate.com/product/Shredded-Wheat-Biscuits-Original/E56767D0-E117-11DF-A102-FEFD45A4D471
Wegmans,Shredded Wheat Cereal,https://media.fooducate.com/products/images/180x180/5986FD43-C4FE-3594-4703-96A98F0487F8-6323.jpeg,https://www.fooducate.com/product/Wegmans-Shredded-Wheat-Cereal/57800656-3AE4-553C-44E8-9333D9CD3C83
