company_name,company_num,address
JOHNBOYS MAGIC LIMITED,08462140,"
42 Coronation Way, Kidderminster, United Kingdom, DY10 3BA            "
HAMPTON MORTGAGE SERVICING LIMITED,08462132,"
South Wing 1st Floor Molex House, Millennium Centre, Farnham, Surrey, England, GU9 7XX            "
BRADY IVES LIMITED,08462131,"
15 Hastings Road, Prettygate, Colchester, Essex, CO3 4SD            "
JFLANDERS TRADING AS JETMAID SERVICES LIMITED,08462139,"
476 St. Albans Road, Watford, England, WD24 6QU            "
PHONECTION LIMITED,08462133,"
Margarethe House Unit 9, Eismann Way Corby Business Centre, Corby, Northamptonshire, NN17 5ZB            "
"M & G PRODUCTS CO., LTD",08462138,"
7-11 Minerva Road, Park Royal, London, NW10 6HJ            "
SINSO RETAIL SUPPORT LIMITED,08462130,"
Regus House 4 Admiral Way, Doxford International Business Park, Sunderland, SR3 3XW            "
CITY IMMIGRATION EXPERT LTD.,08462129,"
84a St. Johns Lane, Bristol, BS3 5AQ            "
LIFESTYLE LEISURE LIMITED,08462128,"
23a Worthington Crescent, Poole, Dorset, BH14 8BW            "
CIPRIANI PROFILATI UK LIMITED,08462127,"
Palladium House 3rd Floor, 1-4 Argyll Street, London, W1F 7LD            "
HQ FURNITURE LTD,08462126,"
52a Woodgrange Road, London, E7 0QH            "
R & A BROTHERS LIMITED,08462125,"
30 Draper Way, Leighton Buzzard, Uk, England, LU7 4UD            "
GDI (SERVICES) LTD,08462210,"
25 Oasthouse Drive, Fleet, Hampshire, GU51 2UL            "
,,
,,
BIG1TRUCK LTD,08462209,"
Unit 1 Sandtoft Road, Belton, Doncaster, England, DN9 1PN            "
WHAT A PRODUCER LIMITED,08462208,"
99 Kensington High Street, London, England, W8 5SA            "
BOLTON BEER COMPANY LTD,08462135,"
Kevan Pilling House, 1 Myrtle Street, Bolton, United Kingdom, BL1 3AH            "
NANTWICH JOINERY SERVICES LIMITED,08462134,"
Unit 8a Gate Farm, Wettenhall Road, Poole, Nantwich, Cheshire, CW5 6AL            "
"DYNASTY HERMES TECHNOLOGY CO., LIMITED",08462137,"
6 Prospect Way, Royal Oak Industrial Estate, Daventry, Northamptonshire, NN11 8PL            "
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
